ID_REF,pancreatic cancer saliva-1,pancreatic cancer saliva-2,pancreatic cancer saliva-3,pancreatic cancer saliva-4,pancreatic cancer saliva-5,pancreatic cancer saliva-6,pancreatic cancer saliva-7,pancreatic cancer saliva-8,pancreatic cancer saliva-9,pancreatic cancer saliva-10,pancreatic cancer saliva-11,pancreatic cancer saliva-12,Healthy control saliva-1,Healthy control saliva-2,Healthy control saliva-3,Healthy control saliva-4,Healthy control saliva-5,Healthy control saliva-6,Healthy control saliva-7,Healthy control saliva-8,Healthy control saliva-9,Healthy control saliva-10,Healthy control saliva-11,Healthy control saliva-12
1007_s_at,1.48,0.01,2.11,0,1.6,1.08,0,1.8,0,0,0,1.01,1.38,0.97,1.13,1.75,4.42,0.74,2.57,1.42,0,0,0,1.49
1053_at,1.19,0,0,0.28,3.55,0,1.11,0,0.1,0.06,0.75,1.32,3.09,0,2.61,2.33,1.72,0.9,1.63,0,2.57,1.41,0.44,0.88
117_at,0.67,2.01,0.3,2.18,3.35,0,0,5.06,1.05,0.44,2.45,0,0,3.62,1.85,1.8,0.54,0.23,0,0,2.38,1.32,7.53,1.5
121_at,2.75,5.19,0.02,6.99,3.67,2.22,4.89,2.17,5.49,9.19,1.34,5.26,4.7,2.29,9.5,2.17,0.45,6.86,3.4,7.18,10.41,8.17,4.58,4.45
1255_g_at,0,10.76,0.46,8.97,3.99,18.08,21.62,0.05,0.34,45,0,21.61,14.34,1.59,54.46,3.72,7.25,10.64,0,76.8,0.02,32.69,13.89,36.51
1294_at,0.51,2.78,0,2.81,0.87,3.53,3.68,1.45,1.53,1.65,1.25,0.03,1.63,0,0.4,0,2.38,1.13,1.92,0,0.86,2.65,0.26,1.07
1316_at,1.68,3.83,0.55,3.44,1.59,3.14,2.61,0.33,0.29,1.52,4.79,2.91,4.15,2.36,1.73,1.43,4.99,3.43,2.42,0.49,0,2.18,0.02,2.6
1320_at,0,0,0.41,4.78,0,2.54,2.54,0,0.01,0.21,0,0.02,0,0,0,0,0.01,0,1.5,3.52,0,1.22,7.31,3.09
1405_i_at,0,0,0,0,0,7.37,0,1.75,1.01,0.32,0,2.32,0,0.79,0,0,0,0,0,0.97,0,0.68,0.01,2.1
1431_at,1.99,0.42,0,0,0,1.68,2.41,0.39,0,0,1.84,0.89,2.17,0,0.75,1.27,0.86,0,2.92,0.15,1.83,0.96,3.5,0.46
1438_at,78.97,84.51,113.17,100.65,118.84,67.13,17.67,75.97,109.12,118.8,111.01,93.38,119.36,80.37,113.25,115.16,6.51,90.92,189.57,82.97,198.28,142.52,174.36,90.83
1487_at,0.63,2.61,0.95,0.93,1.56,3.43,3.13,20.78,1.79,2.54,2.39,2.21,0,1.21,1.09,23.99,1.74,1.1,1.62,0,55.16,0.52,4.4,1.13
1494_f_at,3.37,2.32,0.71,2.32,5.24,0,0.85,4.97,1.1,0.99,0.01,1.47,3.77,4.2,2.71,3.74,0.02,3.33,1.67,5.47,0,4.22,0.68,3.96
1552256_a_at,0.52,0.99,0.15,0,1.52,7.58,6.44,0.57,1.3,0.12,4.25,1.24,0.01,1.5,1.55,4.88,3.28,2.1,0,2.09,0,0.43,2.98,0.01
1552257_a_at,2.29,4.06,9.36,4.29,3.26,8.71,4.2,4.26,4.26,1.01,8.05,5.48,0.02,9.59,3.8,0,3.04,7.08,1.44,3.01,19.47,6.49,2.9,0.88
1552258_at,4.96,4.39,11.44,2.19,6.08,2.48,2.38,4.58,2.1,3.17,4.02,1.24,1.53,6.15,2.97,7.67,5.23,2.31,1.72,2.51,0,1.75,0.03,3.12
1552261_at,315.98,328.36,248.42,238,316.28,213.98,269.97,232.49,197.47,315.33,309.58,284.82,368.77,336.65,524.07,249.83,214.73,282.57,198.81,284.01,135.94,300.99,245.05,226.29
1552263_at,3.31,2.16,1.76,0.86,1,0,3.7,1.26,1.46,1.94,7.7,4.84,2.63,0.01,0,0,3.5,1.24,2.02,0,0,1.1,0,0
