ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
1007_s_at,3.59,0,8.12,0,0,0.01,1.33,2.67,4.39,2.24,0.01,0,0,3.04,9.3,0,4.74,1.22,0,0
1053_at,1.92,0,4.73,4.99,7.17,2.01,0,5.77,4.21,0,1.13,0.01,2.71,0,4.95,16.73,2.19,5.24,4.67,2.8
117_at,0.32,0.62,5.15,5.93,0.56,4.1,6.05,1.92,7.94,0,3.83,6.07,3.28,4.09,4.7,0,4.65,2.23,3.95,7.04
121_at,13.32,20.59,10.11,42.73,8.07,13.29,46.96,33.45,12.55,11.79,11.82,0.02,10.37,38.64,2.9,78.41,38.72,10.05,46.78,1.15
1255_g_at,134.38,517.12,109.54,139.36,64,305.21,246.45,0.05,398.51,189.22,61.72,32.92,326.15,226.88,313.2,155.49,111.08,358.45,274.62,338.92
1294_at,0.79,1.91,4.56,4.72,0.03,0.82,2.88,0,7.55,0.02,6.52,1.81,0,7.86,0.32,4.21,2.93,2.52,0,2.94
1316_at,3.31,4.98,2.61,0.02,3.58,2.22,6.24,5.77,5.21,1.69,4.29,7.67,6.44,8.27,0.97,6.32,7.21,5.13,9.51,10.56
1320_at,3.31,2.92,7.53,2.04,2.28,8.35,5.59,1.04,0,5.9,2.46,0.15,6.15,0.01,1.22,0,2.08,0.27,0.41,1.64
1405_i_at,0,0,16.11,17.36,7.41,9.53,1.19,50.28,233.61,35.93,2.15,15.37,0,28.31,0,0,0,0,9.72,59.67
1431_at,1.8,0.71,1.36,6.08,2.5,0.87,1.61,3.99,2.96,0.81,1.18,1.12,0.37,2.47,4.43,0.53,0.76,7.75,2.45,0
1438_at,536.13,371.1,646.95,725.83,678.33,369.4,563.58,749.1,762.11,522.67,638.33,743.61,627.44,613.63,566.35,603.35,670.62,607.46,608.82,554.93
1487_at,0.45,3.92,1,14.2,1.23,0.85,1.55,0,3.63,4.13,2.11,3.14,1.05,2.4,1.93,3.24,2.6,1.46,2.32,6.52
1494_f_at,44.65,67.53,69.89,91.47,54.03,54.61,0.12,150.32,47.41,48.78,52.58,78.44,65.85,23.25,102.1,20.51,86.92,89.1,21.88,120.92
1552256_a_at,0,0,6.83,5.25,0,5.18,0,0,2.15,5.62,2.6,0,0.02,1.02,0,5.87,0.6,0,24.81,0
1552257_a_at,8.73,5.48,7.91,8.99,13.74,6.61,8.58,2.65,9.19,1.5,18.26,4.04,4.78,2.9,9.21,1.12,7.99,8.66,7.71,3.79
1552258_at,2.12,5.61,0.62,0.01,3.87,2.35,2.99,4,3.28,9.8,0.67,2.53,3.49,0.84,5.22,7.6,3,3.08,1.33,3.16
