ID_REF,Healthy control saliva-lc1,Healthy control saliva-lc2,Healthy control saliva-lc3,Healthy control saliva-lc4,Healthy control saliva-lc5,Healthy control saliva-lc6,Healthy control saliva-lc7,Healthy control saliva-lc8,Healthy control saliva-lc9,Healthy control saliva-lc10,Lung cancer saliva-1,Lung cancer saliva-2,Lung cancer saliva-3,Lung cancer saliva-4,Lung cancer saliva-5,Lung cancer saliva-6,Lung cancer saliva-7,Lung cancer saliva-8,Lung cancer saliva-9,Lung cancer saliva-10
1007_s_at,1.80111,1.2016,0.0000657246,1.10508,3.85138,1.83545,0.00185465,0.70917,0.114688,1.01152,1.89014,1.60306,1.64745,0.896312,1.11228,3.37656,1.6676,2.22915,0.683398,3.49913
1053_at,0.0000965454,2.30193,0.522764,2.05683,0.00512414,1.32488,0.642662,0.00241602,1.04703,0.000852561,2.98007,1.12626,0.815391,2.3644,0.957568,0.895544,2.54446,0.762089,0.0043916,1.42774
117_at,2.08298,2.90278,1.87284,1.47611,0.00247071,0.00229984,0.00548446,3.23528,1.34226,0.148625,0.00367866,0.997715,1.54694,0.0987133,0.388128,1.06331,0.780974,0.00171291,5.07012,0.000829582
121_at,0.000059729,2.75841,1.42759,1.07119,0.136117,3.20907,0.00408159,0.809361,1.47817,1.39897,0.906404,2.42809,0.0902696,1.56161,0.261594,0.78275,0.271392,3.64882,1.52346,0.542321
1255_g_at,3.28973,1.72816,1.34814,0.177411,0.427533,0.00135842,0.550252,3.28475,0.00663426,2.20482,1.35116,0.624593,4.6909,113.38,9.71752,9.42695,10.8993,1.03279,16.2528,2.08778
1294_at,1.56565,1.35111,0.0000557448,0.333129,1.98725,0.00106844,0.561925,0.355394,0.00280307,1.50663,0.0004668,0.00103889,0.009519,2.23485,1.25886,0.000401644,0.00277402,0.885728,0.759736,0.00222017
1316_at,1.65391,1.82966,2.13461,0.320039,0.345925,2.02578,0.592414,2.19376,2.17307,1.11334,1.56499,0.0337076,1.27687,1.89088,2.59562,0.950755,1.2502,1.9253,2.1577,2.01813
1320_at,0.000062223,1.13655,1.7388,0.0342081,0.00100567,0.00061092,0.000504098,1.16178,0.00453316,2.51818,0.364053,0.724731,0.0131003,1.18987,0.000887279,2.70574,0.00334789,1.37846,0.000852557,1.35289
1405_i_at,0.88226,0.000229729,0.925913,0.313106,0.637914,0.192811,0.00269866,0.00118156,0.00260281,3.61436,0.0122385,0.000545599,0.592439,22.69,3.51186,1.71926,0.000477257,4.10016,0.00105846,0.000370319
1431_at,2.31008,1.39994,1.13272,1.7692,3.13592,0.437541,0.363708,0.156766,0.718999,0.00220835,1.45616,0.00136946,0.537567,1.44356,0.000736488,0.00113183,0.00257063,0.00306442,1.32073,2.38358
1438_at,2.48395,2.4904,1.86917,0.819043,0.812559,0.80067,66.2787,11.4188,25.1676,8.02694,58.4145,25.1632,13.4239,52.35,5.13428,469.983,61.0362,208.247,53.0781,114.706
1487_at,1.03808,1.57063,1.26026,2.36011,1.16721,0.00631631,0.00196558,2.31404,0.00865172,2.11413,0.927181,0.347657,0.103236,0.231356,0.951943,1.82434,0.0394012,0.0913683,0.916687,0.795466
1494_f_at,2.71572,1.51121,0.000723619,0.000900755,0.349322,0.00713585,39.4632,57.8708,105.146,41.2658,0.501745,5.54238,1.33894,0.460757,0.72453,1.56662,1.27044,0.942848,0.000484675,0.00307837
1552256_a_at,1.2333,1.90966,0.0000979354,1.16562,2.85425,0.00203191,1.05464,0.00177615,0.719292,0.000484076,2.67392,0.574363,0.62989,0.00267827,0.833485,0.000877828,0.669623,0.202532,1.41194,1.01835
1552257_a_at,1.59699,3.97419,1.78527,1.23585,0.516801,1.98717,2.30271,3.49153,2.77099,0.559493,0.255506,0.975338,3.13457,2.07107,1.84603,0.0050306,0.821966,1.66826,3.37155,0.0914033
1552258_at,1.88672,2.20034,0.928849,2.38775,2.66097,2.23066,2.77268,0.0153342,1.47376,1.9501,1.93472,0.328693,0.448998,0.801369,0.00652233,2.2843,1.43285,0.495673,0.440976,2.02738
1552261_at,47.4391,13.3519,1.81565,3.46726,10.8845,162.512,178.573,232.646,255.112,108.104,330.429,442.955,432.903,511.548,283.373,523.857,317.801,743.337,298.8,502.438
1552263_at,1.61008,1.1869,1.0243,1.98228,10.2435,0.00277544,0.00098383,3.09868,0.00105599,3.85825,0.00100608,0.0044676,2.99968,1.47361,2.07183,0.016569,0.18377,1.82557,26.869,0.555975
1552264_a_at,1.57497,1.51479,0.000326287,0.00223992,3.18277,0.00211161,0.251838,2.38368,1.39606,0.00392499,1.0112,0.00456766,0.199874,0.00195448,0.00108238,0.803491,0.0050794,0.00101953,4.03496,0.000850474
1552266_at,1.33658,2.04548,0.000263975,1.0412,1.67328,0.00264845,0.816471,0.0452986,0.00286793,0.0017261,0.0599605,0.209754,0.0015668,0.606572,1.00521,2.00205,1.00728,0.00160768,0.00160664,0.00100379
1552269_at,2.62376,4.29391,1.31533,0.00268021,2.29733,0.801653,0.109705,0.00125741,0.508965,0.401358,0.291902,0.192622,4.94628,1.41597,0.728379,0.753794,0.480465,0.00164304,1.02561,0.272885
1552271_at,1.0015,1.56994,0.977263,0.53354,3.58091,0.0445256,0.00198439,0.00204098,0.000570105,0.00128024,0.00132983,0.000883067,1.3823,0.147662,0.0808179,0.189425,0.00162537,0.000796611,2.20618,0.00110661
1552272_a_at,1.19335,2.61621,0.000104975,4.51818,0.00733354,0.000969528,0.110507,0.39064,0.00199782,0.558444,2.45338,1.18131,2.63669,2.76362,1.86011,1.31726,0.885855,0.0109351,0.820316,0.691677
1552274_at,130.624,31.9052,2.85307,380.026,16.6307,661.438,679.944,309.876,389.568,61.9388,610.568,936.435,688.753,923.824,557.846,1885.63,733.766,1201.42,659.729,864.188
1552275_s_at,0.0000621571,3.13057,1.89575,0.000735384,2.06472,0.000494219,1.03917,0.000728221,0.000804054,0.00373661,1.80575,30.7655,0.0144309,10.6846,0.0990391,0.00109634,0.00805152,0.00148611,15.3327,37.8467
1552276_a_at,3.11785,0.000129685,0.0000645653,0.498502,0.00232335,0.518371,0.98844,2.54034,1.29008,1.65336,2.10776,0.753681,4.59531,2.45107,3.13314,0.455409,3.82215,1.00205,0.615974,1.47829
1552277_a_at,1.29565,2.29039,0.00014486,0.00125982,1.10126,1.57264,0.00182745,0.579888,0.00477548,0.00245084,6.196,0.00123135,0.00111719,1.1967,0.00105946,2.51731,2.23077,0.92101,0.0261279,0.00114414
1552278_a_at,0.0000809883,0.000285684,0.856165,0.00261707,0.00152841,0.000565614,28.3688,0.000682506,2.7847,2.11358,0.0936662,5.21045,0.00744563,0.00504377,0.237648,0.0120846,0.303299,1.14721,1.27678,0.00120647
1552279_a_at,2.94769,3.04912,1.64876,0.978558,9.86932,1.24436,1.18508,1.4009,0.885915,1.02672,17.2157,1.01221,5.8546,2.11985,2.15338,1.05862,5.21327,19.6835,0.631573,1.27924
1552280_at,1.68627,2.96848,0.000145489,0.782058,1.2561,0.00295567,0.652729,0.339869,2.17938,1.50854,69.2269,215.758,42.1578,162.648,51.9098,0.0684121,19.1264,0.0742135,15.421,0.00900286
