ERICH5,NLRC4,CCDC27,DEFB125,LINC00663,C9orf117,MALAT1,PSAPL1,FGFR1OP,FAM13A,WIBG,HNRNPD,MPZL1,BIRC5,HPS1,NCOA3,LARP4B,UBC,TOP3B,LPPR2,ZNF444,CEBPA-AS1,DNAJC5,MRPS9,CPNE8,XAGE2,CTXN3,RP11-327J17.2,LOC100507459,Cancer
29.89,154.05,368.83,911.73,2889.85,7664.36,11.5,21.49,736.63,0.02,167.06,7.77,74.13,13.54,331.3,4.93,129.8,612.78,0.94,730.69,0.0,537.32,0.03,425.52,1.96,697.92,4.54,113.66,389.32,1
128.57,99.0,279.41,977.38,2605.46,6933.91,55.79,30.21,618.79,6.23,79.0,0.0,39.39,3.27,398.78,0.02,134.33,1084.34,0.0,824.03,0.24,454.9,4.56,1375.5,1.24,760.32,5.0,273.69,563.36,1
0.07,44.19,207.76,1275.63,3679.49,7494.99,2.07,25.9,1220.56,6.07,23.64,1.39,89.27,52.52,322.0,0.01,52.05,745.0,2.48,910.54,0.1,533.67,4.88,237.84,0.54,744.81,2.66,84.98,235.67,1
270.64,47.84,291.78,1015.72,2988.85,7740.97,27.89,23.48,717.47,7.18,327.94,0.0,51.38,6.64,401.93,12.11,51.28,748.46,0.0,793.52,0.0,521.79,0.0,555.19,4.52,1063.53,5.26,127.6,311.49,1
0.16,8.47,403.38,1027.43,2983.28,7663.48,58.75,14.39,1060.87,7.97,43.36,0.15,66.41,9.32,295.53,3.95,284.67,924.27,0.03,854.46,0.0,700.59,6.08,522.75,0.0,805.2,3.02,231.66,302.81,1
26.79,143.25,312.64,853.3,2979.97,7776.21,177.5,13.4,733.98,6.93,372.64,0.01,45.18,4.47,382.68,0.0,246.54,1162.62,1.92,915.67,4.57,554.42,1.17,443.22,4.3,864.27,10.74,70.08,475.38,1
0.13,144.72,397.69,1207.28,3202.19,8363.1,224.39,27.5,735.13,12.0,395.61,11.85,76.12,26.68,258.45,0.0,256.52,1467.42,0.98,869.36,0.0,512.25,1.1,692.1,0.0,763.57,1.65,78.55,662.49,1
81.9,91.08,345.35,1095.49,3087.82,7667.55,0.03,10.45,937.32,20.37,377.45,5.66,75.69,5.14,252.64,0.0,263.76,937.21,3.07,958.15,1.7,699.42,4.75,285.99,4.72,779.98,3.69,119.05,392.43,1
277.91,582.29,661.28,1522.29,3467.15,8250.93,11.94,25.42,929.18,3.47,1054.62,0.69,44.48,4.22,244.84,1.72,501.59,871.94,0.0,692.23,0.0,463.87,0.01,1309.32,0.0,673.68,0.01,147.13,837.5,1
0.14,207.35,335.5,1155.9,3252.39,5618.72,169.51,9.47,732.13,3.22,760.21,0.01,66.71,6.28,301.97,0.01,53.95,849.92,0.0,793.55,3.33,452.88,0.0,483.06,2.64,756.24,1.73,213.78,366.4,1
83.06,559.53,781.73,1791.42,3873.79,8941.67,3.72,2.38,636.46,0.01,1151.21,0.47,41.08,8.96,206.12,22.76,451.84,667.1,1.65,589.37,0.0,290.06,3.89,1272.82,2.42,483.0,1.04,620.13,951.94,0
38.38,510.88,589.06,1678.78,4056.84,10074.28,0.01,7.21,1181.24,7.72,982.12,0.0,45.29,7.77,200.21,3.0,530.7,1176.88,0.0,593.53,1.35,383.97,5.26,1692.48,0.01,584.57,0.49,557.68,1302.87,0
0.05,602.26,961.26,1817.46,3972.96,8700.25,119.69,10.19,714.98,78.39,1209.93,0.03,11.21,1.3,187.87,5.48,490.77,1481.28,8.27,671.35,4.3,192.4,2.05,1120.03,0.92,432.59,0.01,375.87,814.65,0
21.84,794.38,977.9,1891.31,4322.94,9743.31,26.56,0.01,334.24,0.27,1427.98,5.26,32.63,0.05,232.18,0.04,666.88,1100.96,2.48,660.72,0.0,229.66,2.88,1770.78,0.0,488.74,0.91,686.72,1263.29,0
49.17,621.3,850.27,1842.4,4248.19,10148.39,42.67,9.87,702.05,5.43,1766.02,0.13,7.79,3.24,106.42,13.82,776.48,1660.68,0.13,662.19,3.63,343.04,3.08,1755.28,1.47,719.69,0.22,548.78,1186.03,0
632.78,804.62,976.72,1962.22,4179.01,9486.89,18.34,0.24,810.86,3.56,1479.68,0.0,22.82,0.91,177.51,29.08,533.33,1377.42,0.0,601.74,1.94,288.29,12.64,1691.46,0.0,455.61,1.53,814.37,1174.07,0
40.21,714.1,698.98,2054.32,4339.67,9858.35,0.01,13.24,1169.61,8.35,1324.66,1.5,7.9,10.38,144.46,3.69,963.77,1449.79,1.13,727.13,0.85,347.44,0.0,1824.27,3.19,677.26,1.71,793.09,1284.87,0
103.91,778.51,824.51,2436.24,4937.73,9156.24,5.16,11.09,488.02,13.61,1146.03,0.0,4.81,16.16,262.05,5.67,829.8,1186.66,0.0,706.93,0.68,272.82,0.0,2501.3,5.1,348.85,6.77,688.31,1249.62,0
353.42,268.0,675.49,1482.51,3302.07,8407.54,37.11,0.01,963.5,1.33,635.75,2.14,31.2,30.71,195.14,2.86,484.7,825.19,0.52,701.72,16.79,381.55,6.54,1450.6,2.02,571.56,1.73,224.92,574.76,0
0.07,410.17,1335.2,2309.73,4572.22,9971.21,52.55,3.92,1172.6,105.78,1569.71,0.0,43.84,10.15,0.03,17.6,745.42,1140.16,3.51,693.18,5.66,375.25,0.0,1766.98,0.22,579.78,4.01,567.96,1185.37,0
