TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
308.8668,107.4819,525.45,29.48882,108.5295,2008.731,191.2336,2969.165,247.2276,2459.763,109.3552,237.2336,1619.105,4155.965,31.75664,404.8115,291.6412,106.7403,1155.272,1159.219,1401.295,947.0371,178.6709,297.1493,2128.944,130.1307,870.0696,68.4945,79.19702,36.33415,1
277.684,117.3316,51.11953,452.7816,300.7254,190.6892,658.6988,215.8659,300.6467,19.37471,781.9634,607.4396,53.61775,2855.292,880.1664,137.0348,413.3882,121.3607,42.37295,58.21294,38.55367,1132.646,51.54712,165.2375,164.7423,65.5982,61.99484,610.9776,98.01492,101.6521,1
65.71525,417.8136,45.88695,64.29925,634.0306,106.916,33.86874,407.2808,74.81199,3762.443,34.82758,956.7116,923.6465,3767.608,1187.872,684.8758,927.655,65.62226,84.84012,825.5033,678.8752,72.19736,472.4342,122.7454,2206.781,52.10078,175.1389,312.265,195.3268,83.35479,1
78.82885,362.5145,2802.324,639.9994,1022.214,1377.78,1840.436,3211.577,54.72964,998.4712,1102.005,1291.731,108.3935,4341.87,277.5356,2109.645,178.549,326.8282,258.2662,437.4189,1267.372,2113.689,934.4037,55.92514,5378.669,663.5582,247.4014,226.6201,373.6053,642.4005,1
605.6539,66.08199,105.8586,59.49405,52.5397,3934.214,3751.293,5301.292,378.7348,4416.436,1767.808,593.9031,166.7074,4242.46,941.3232,37.62785,784.3176,146.1385,525.4627,42.65095,573.5657,3590.047,543.3143,45.4035,4997.217,61.61543,38.63363,316.596,135.6464,781.8898,1
488.9917,44.30438,52.99944,43.05694,266.2133,2471.048,1707.215,2352.366,161.0926,5247.814,89.71454,1148.529,4094.938,3766.511,561.1797,399.7834,776.0977,1079.224,1242.753,33.57081,2389.454,710.0782,179.8171,770.8351,9298.619,41.40208,31.98717,127.551,408.4366,37.00556,1
24.9943,53.66327,123.9288,927.0322,530.2905,531.5396,59.59259,2669.238,1238.317,351.9533,936.3643,128.816,904.2051,3977.076,494.636,119.5847,134.083,1157.101,1631.432,1441.689,123.1514,5460.35,294.0531,35.82309,3041.15,131.0676,33.40037,922.2669,604.6049,114.9525,1
128.3786,371.3569,53.53294,296.6621,344.7944,624.3156,55.0996,76.5096,436.2249,73.40607,529.8604,82.09447,187.614,3833.183,174.0927,816.705,111.1807,55.0014,1201.971,836.9852,66.09039,135.9443,892.9324,644.259,276.4057,256.6245,68.12434,900.0872,118.9529,37.49162,1
54.51522,654.7698,316.1092,96.51046,158.8191,165.005,447.3465,37.33334,119.3046,64.16424,277.7033,79.67078,1001.766,2537.411,417.2325,363.795,1002.119,79.38043,157.1353,1444.424,78.55233,90.59326,110.9737,976.7598,784.4186,70.99166,131.7786,1323.8,70.79115,131.2362,1
197.7588,72.23155,68.72337,515.1495,51.83309,805.8353,1687.388,2559.883,67.09531,28.25863,492.2787,191.9463,532.6453,4333.194,80.18368,612.8685,52.03028,741.9905,1109.549,272.6065,1254.166,2147.903,674.0078,137.3625,2284.096,233.5807,58.23238,225.8261,1034.208,664.3508,1
596.2901,525.4982,213.3507,1466.699,536.3781,2063.645,768.8206,1261.494,365.3054,59.89046,66.75725,1535.198,1284.948,2440.704,539.3533,1125.657,405.8509,131.3567,286.9377,1786.001,561.8788,2690.772,59.27346,145.6178,1101.544,65.97797,600.5442,55.92019,165.2784,753.698,1
689.4517,142.6357,1012.525,55.28547,209.9345,1058.689,1178.565,174.6768,1101.378,47.74406,821.4918,681.522,886.183,1482.087,864.3391,369.6671,168.3078,553.2979,696.5624,1299.667,562.5524,47.98173,521.5154,356.3291,150.4913,57.38583,293.1918,200.1886,66.07432,186.4949,1
40.4752,485.1429,42.15039,301.6769,113.4522,4936.55,2149.067,8136.026,579.9863,10089.22,717.1108,184.2633,1128.822,2153.234,815.9274,686.4236,818.1819,923.9681,867.8589,979.4249,1531.514,4219.924,98.07275,407.69,5075.325,513.5692,93.5767,105.4415,874.7366,739.1422,1
84.4136,65.84373,70.78849,1086.874,51.1894,811.6289,182.8814,55.25156,1141.831,58.70308,661.5999,894.2952,927.3937,2534.519,72.3545,58.86162,189.8778,81.56482,605.4017,1084.958,414.3406,565.79,541.0917,148.9249,139.8132,62.64838,64.94128,281.5632,150.0975,82.87141,1
188.4851,126.0659,128.6798,375.3125,29.01892,3923.772,2900.831,4427.171,368.5773,338.2917,2057.536,488.9207,1142.219,3432.653,493.6215,403.9584,2169.695,494.1868,870.5968,963.0809,868.6592,1611.199,49.48315,144.3823,3418.379,176.8941,364.6886,130.6671,113.9634,550.4952,1
1204.484,689.952,75.69034,33.81388,634.6107,820.005,54.65995,74.91041,159.0671,213.3235,242.6542,594.5016,64.6689,3349.01,451.6084,357.717,142.4392,211.7221,42.99846,82.1151,92.59774,1482.574,314.4245,553.1864,368.1316,164.125,367.9089,1352.12,109.3623,1874.993,1
