VTI1A,NLRX1,DYNLRB1,CLASP2,CDKN3,SHISA9,SH3D19,RP9P,LOC729506,YY1,LBR,PLK2,CHST10,SLC2A5,LRMP,EVI2A,TMEM47,ITCH,KLK10,SLIT2,UBE3B,ABHD10,ESPN,SLC4A9,TEAD2,DMKN,SEPT7P2,VEPH1,Cancer
0.000240449,1.94341,0.000101908,6.49398e-05,57.7134,381.514,130.946,2.14805,2.08088,1.57378,213.508,188.022,446.452,2.43663,4.91677,7.1439e-05,1.77585,2.45563,1.68661,9.1787e-05,1.50573,178.738,2.21426,2.43925,1.03334,175.337,130.807,164.206,0
2.09963,1.86355,0.00013394,3.03609,4.27905,9.01767,5.49713,1.31345,1.6026,7.01247,310.845,41.5399,196.09,0.000125693,6.18872e-05,227.412,2.43214,2.45403,7.62124,1.87736,2.65837,5.33383,1.36419,2.69368,9.85242e-05,142.107,4.14265,29.7849,0
1.511,1.83097,1.07724,1.31191,3.75155,5.24029,1.47683,1.59004,1.82395,1.44329,5.76842e-05,1.84523,4.23421,1.91618,0.927643,2.70717,2.06385,2.33594,1.72027,0.946023,0.000150902,5.01524,2.00689,1.10104,1.45784,5.99229,1.31827,3.98308,0
0.228517,2.21623,0.000745347,1.836,221.915,444.451,2.55617,0.000998155,1.34408,12.6817,129.984,148.947,561.414,1.15192,0.0014272,44.8862,1.63686,0.692239,1.81891,0.000975157,2.29059,250.699,1.78356,0.709976,3.65163,348.815,179.645,272.202,0
0.636122,1.51742,0.00104348,4.17041,29.1968,15.4323,22.7725,0.0978614,2.00844,3.20829,0.0219353,87.6559,275.137,0.864792,0.000700802,363.565,2.82816,0.00212426,1.00189,0.00145421,0.000714129,98.8699,4.76989,2.94333,0.0146321,82.3656,76.0625,311.411,0
2.33833,0.950206,0.000656369,1.43379,153.877,567.836,177.674,0.00444457,0.0771604,0.243075,160.436,415.538,251.442,1.05256,0.00139323,73.4851,0.00135315,0.569516,0.188042,1.50076,22.2858,188.907,1.31365,1.46048,1.17286,501.713,168.086,185.467,0
1.43829,0.42437,0.584756,0.00242974,143.865,517.675,53.5749,1.05529,1.97234,1.42201,0.639462,215.534,452.306,0.00305616,1.51339,185.268,1.84173,8.57061,0.706473,0.0966112,0.0005211,184.713,0.331756,1.98093,0.105511,246.982,199.865,203.642,0
1.90936,0.925885,2.33379,0.00854825,137.789,541.829,46.247,0.290722,2.13173,4.93395,324.584,157.681,378.024,1.25867,0.74839,257.395,1.16739,0.008347,1.4554,4.03894,0.014366,212.991,0.00240647,2.09892,0.00108204,324.021,208.692,419.805,0
1.686,2.8419,0.00104469,0.323903,156.047,693.457,441.963,0.0089311,1.57342,0.00126466,402.086,393.814,424.838,1.72283,0.0067001,162.335,1.30645,0.145219,0.00110599,1.00901,11.4015,506.832,2.0313,2.18699,0.801228,322.634,204.756,245.647,0
0.692403,1.77384,0.000797657,1.6626,96.7072,549.584,369.341,2.58372,1.46039,5.11375,292.025,252.499,348.229,1.87227,2.14163,318.293,0.847991,0.0360941,2.10945,0.385126,17.2247,272.629,0.585249,0.0432902,0.427103,186.968,317.097,307.25,0
0.00146682,0.00112748,1.79976,0.497466,514.937,1463.25,742.943,0.000422372,0.101413,1.33331,0.0371815,696.591,814.056,1.19815,0.00246117,0.00112829,1.38384,0.358613,0.430385,1.44943,0.747495,1144.0,7.08667,0.00186824,1.409,877.449,644.468,706.42,1
0.869702,0.000972526,0.0576816,0.457604,440.925,1214.53,691.92,0.00101486,0.472629,0.154305,0.00121682,780.885,932.703,1.41821,0.000928047,0.000656375,0.687283,3.96516,2.58791,1.1144,1.75164,1207.74,0.869622,0.703362,0.00127574,931.526,469.01,607.151,1
2.40808,0.00132098,1.39146,0.884471,308.852,1437.68,567.399,0.00118965,0.00107217,4.96625,2.80479,702.214,1123.02,2.0973,0.000407012,0.000887775,0.629631,0.00391413,4.2562,0.000705344,0.00677424,1059.86,1.1867,1.22768,0.00198146,817.24,396.882,363.935,1
0.00085756,1.69331,2.0497,18.2727,318.87,1676.1,429.807,0.00166593,1.02597,2.23873,1.27287,571.608,1005.73,1.7415,0.000537334,0.00143415,0.138726,2.05408,0.984681,0.00101755,2.21976,821.833,0.0981976,1.6056,0.447762,927.188,461.415,493.677,1
2.37114,1.89171,1.50885,0.237211,345.97,1821.07,690.694,1.29718,1.62045,2.06689,1.83382,637.921,982.43,1.4567,0.000644756,0.354639,0.00106841,1.53226,0.751944,0.00115065,0.414203,806.87,2.24474,0.000661973,0.00120464,773.73,493.312,456.558,1
1.88793,0.00187085,0.0034672,0.946704,658.171,1823.62,769.033,5.17921,1.12198,0.0816319,0.357054,545.704,1384.55,2.4193,0.889194,0.729929,0.00870186,0.955767,0.00170157,0.196722,3.67477,1045.13,1.61056,0.000864385,0.0282423,771.853,524.743,536.953,1
0.457955,0.0131042,0.39576,0.956849,320.463,1462.8,866.293,0.198519,0.00110994,0.813497,0.587132,816.656,827.525,0.0750278,0.00338575,0.00094869,1.17321,2.45086,1.69229,1.04837,0.00178729,1146.01,1.33382,0.588232,0.000703119,713.98,551.311,660.705,1
0.899887,0.000641348,0.760012,0.0483696,485.124,1267.62,753.058,0.000507156,1.43831,3.17247,0.807492,770.72,1112.38,0.448377,0.00241077,0.00053678,0.00235964,0.00489241,0.0594623,0.00134698,0.0415468,982.934,0.801859,0.531655,0.0189267,942.043,619.128,873.479,1
0.0105761,0.00122197,0.00224574,7.40146,453.0,1610.93,692.136,0.000707169,0.963246,24.2042,27.6141,714.528,959.91,1.1416,3.43317,12.6975,0.00345811,0.410892,1.20222,3.37445,1.13818,848.31,0.872356,0.0152016,4.21622,692.375,500.747,655.018,1
2.85753,0.973689,2.49019,0.048295,411.555,1419.61,691.323,0.689175,0.00143576,0.674732,1.022,698.878,1057.62,3.3937,0.000412571,0.000728168,0.597946,1.25798,0.304032,0.000688591,0.00217689,1007.34,0.365338,0.0443197,0.0033571,796.727,593.09,608.026,1
