SLC4A8,HINT1,EME2,C4orf27,ARIH1,PAPPA,SEC23IP,KRAS,CDKL3,TRIM14,H2AFX,PAGE4,USH2A,SOCS5,SEC14L5,CREB3L2,CD7,HIST1H3E,SMUG1,DHRS9,HOOK1,WDR48,DTX3,SEC11C,PNPLA8,ATAD3B,FAHD1,ZNF503,TPBGL
32.59,2.69,9.7,0.01,2.54,344.09,2.1,0.0,0.86,24.89,229.32,1.36,53.86,76.39,183.37,120.51,36.28,1.38,1.78,43.73,27.52,0.0,0.0,2.0,1.57,2.69,0.0,0.28,82.55
21.38,4.71,6.35,0.0,0.0,426.81,0.0,0.0,6.0,0.12,187.64,1.56,58.01,31.9,180.06,98.67,31.31,0.0,2.43,103.07,2.77,1.06,0.0,0.51,0.0,0.01,3.75,1.91,17.99
10.66,1.46,4.37,0.01,0.0,273.02,8.56,0.0,3.75,10.6,186.11,2.22,132.22,22.11,222.71,175.79,90.25,3.61,29.45,26.79,26.48,5.62,0.0,3.23,4.68,1.77,1.63,0.73,33.15
21.14,2.47,8.89,0.26,0.69,415.06,0.68,0.0,0.01,36.0,126.44,1.59,78.44,80.12,145.53,115.35,27.1,0.01,2.41,37.87,9.96,0.0,2.01,2.51,0.0,1.2,1.94,0.9,66.75
13.0,4.75,7.44,0.0,2.25,465.64,0.0,3.01,0.0,9.43,198.27,0.45,45.71,74.39,180.51,158.81,14.12,0.07,0.05,162.32,0.0,0.19,0.0,6.13,0.0,1.22,3.1,0.04,59.11
2.53,2.24,4.84,1.14,2.35,268.81,3.7,2.65,0.0,3.77,112.12,1.75,14.7,116.61,166.3,69.82,32.9,0.28,3.42,140.28,0.01,11.64,0.0,1.79,0.0,3.96,0.0,0.0,92.79
3.78,5.75,0.08,0.04,12.5,274.08,3.21,9.15,2.07,44.5,133.09,2.66,84.59,41.03,152.69,118.8,65.67,0.72,2.09,270.4,0.04,0.0,0.0,6.12,0.0,3.96,0.45,0.0,0.25
11.83,2.97,6.33,0.0,0.15,243.8,0.0,0.01,0.0,13.13,197.15,0.4,48.85,123.52,179.65,74.86,33.91,2.66,3.92,69.73,15.89,0.25,0.0,3.48,0.0,2.98,0.02,0.0,99.21
0.5,2.57,0.01,0.0,3.32,179.98,6.85,2.89,0.01,1.59,192.17,0.0,120.23,44.46,243.09,117.51,60.82,0.0,2.58,181.37,0.04,5.08,0.54,0.66,12.43,0.99,0.0,0.0,35.72
29.35,5.31,0.01,0.01,1.57,226.92,0.0,0.57,3.68,0.0,111.86,1.22,52.39,148.78,127.4,52.61,8.64,0.01,2.63,115.06,0.01,5.34,1.51,3.76,2.06,2.45,1.52,0.24,73.01
10.76,2.48,4.1,0.0,0.31,269.2,0.0,0.0,2.12,0.02,164.32,1.38,8.67,79.07,131.92,78.72,316.96,1.25,0.0,19.4,0.0,0.0,3.03,3.77,2.06,1.63,0.0,0.0,45.18
15.17,0.0,18.19,0.0,3.34,202.53,0.0,2.44,0.0,34.7,162.75,3.06,49.56,87.56,173.37,95.95,0.03,4.42,0.0,99.61,59.49,2.34,2.24,2.55,3.6,3.21,1.29,0.2,56.79
18.23,0.02,11.8,3.21,0.05,395.62,2.64,0.0,0.0,52.4,124.26,4.58,36.57,101.88,80.82,72.05,37.74,1.95,0.47,291.24,14.69,0.01,0.54,0.0,3.4,0.01,0.62,2.1,90.68
30.42,0.01,2.05,2.85,2.16,292.63,0.0,0.0,3.13,0.04,68.4,1.24,31.36,53.08,70.3,60.91,68.4,0.0,1.07,40.29,14.29,0.0,1.86,0.0,2.05,0.0,0.0,0.0,161.43
24.32,0.0,1.69,0.47,1.29,417.72,0.0,2.82,0.0,25.65,106.63,5.03,17.68,101.81,119.65,28.94,20.01,0.0,1.7,200.27,0.0,0.0,0.0,0.46,0.0,1.57,1.46,0.0,176.77
57.46,0.0,10.59,0.72,0.65,324.81,0.0,0.0,5.32,23.91,145.51,2.47,8.81,63.4,140.03,92.78,0.0,2.41,1.81,308.44,0.01,2.4,0.77,1.22,0.37,0.0,0.0,0.62,109.27
1.93,0.01,1.19,5.14,2.9,273.12,2.98,0.3,0.0,2.85,158.18,1.54,6.97,56.16,162.93,3.02,28.72,0.95,0.31,225.88,51.63,0.15,2.32,0.0,0.0,0.63,2.22,0.0,58.7
22.08,0.98,4.81,0.0,0.41,421.41,0.01,0.23,0.83,0.02,59.14,4.05,6.86,53.85,62.56,37.92,7.36,1.29,0.45,176.58,7.75,0.0,0.39,0.0,0.0,0.02,1.36,0.0,180.12
16.37,0.0,0.0,0.93,0.0,227.88,6.29,0.0,4.78,0.0,103.73,3.56,30.44,24.46,199.25,59.4,0.0,0.13,2.52,188.11,61.58,0.57,0.41,0.0,0.0,0.39,2.71,0.0,146.3
0.79,4.09,2.49,2.71,0.3,296.19,0.54,2.8,0.02,8.59,94.11,1.1,5.85,13.79,119.78,34.0,37.05,0.75,2.93,202.74,32.25,0.05,0.0,1.95,3.6,1.76,0.89,3.69,108.09
0.0,0.0,1.71,0.0,0.0,346.55,1.45,0.0,2.33,0.0,2.67,2.53,2.36,1.02,25.64,1.31,15.82,1.48,3.38,295.47,0.02,0.01,2.87,2.15,0.01,0.0,4.24,0.0,50.92
98.79,0.0,11.11,1.9,0.75,322.06,0.0,0.54,0.52,9.65,5.94,4.58,3.52,125.78,17.31,4.1,1.8,2.58,0.62,132.22,1.27,0.0,1.41,0.0,0.01,0.88,0.46,0.3,174.04
10.68,0.01,6.36,4.87,0.0,215.56,1.61,0.01,0.0,34.95,140.32,2.73,2.13,1.45,58.19,84.74,0.0,1.51,1.32,184.28,43.97,10.02,0.01,1.9,0.0,0.34,0.81,0.0,206.15
70.51,0.02,0.08,3.26,2.71,234.3,1.55,0.0,0.0,1.17,44.79,5.03,6.48,85.07,49.71,37.55,15.6,2.23,0.0,383.97,3.14,0.0,0.21,0.0,3.54,0.54,0.0,1.49,233.96
